dataset_group,fold,evaluation,dataset,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC,inner_fold
covid,1,train_real_test_real_cv,Real,CatBoost,0.5129802699896158,0.6865671641791045,0.5202922077922079,0.5153186274509804,0.5,
covid,1,train_real_test_real_cv,Real,XGBoost,0.4273504273504274,0.6417910447761194,0.4184210526315789,0.4430147058823529,0.47058823529411764,
covid,1,train_synthetic_test_real_cv,Standard_CTGAN,CatBoost,0.46659743856005537,0.6567164179104478,0.46590909090909094,0.4742647058823529,0.4185049019607843,
covid,1,train_synthetic_test_real_cv,Standard_CTGAN,XGBoost,0.41307277628032346,0.6119402985074627,0.40530303030303033,0.42340686274509803,0.47671568627450983,
covid,1,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.45454545454545453,0.5370370370370371,0.45872420262664165,0.4676470588235294,0.43529411764705883,1.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.38919145370758274,0.5,0.38160676532769555,0.4176470588235294,0.41617647058823526,1.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.4344365312107248,0.5370370370370371,0.43452380952380953,0.4503759398496241,0.40601503759398494,2.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.45454545454545453,0.5370370370370371,0.45535714285714285,0.462406015037594,0.41804511278195483,2.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.5523648648648649,0.6226415094339622,0.5682692307692307,0.554953560371517,0.6176470588235294,3.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.552112676056338,0.6037735849056604,0.5565878378378378,0.5518575851393189,0.5572755417956656,3.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.4756989247311828,0.5660377358490566,0.483739837398374,0.4876160990712074,0.456656346749226,4.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.5146520146520146,0.6226415094339622,0.5517676767676767,0.5317337461300309,0.4520123839009288,4.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.5669934640522876,0.6226415094339622,0.5754385964912281,0.56656346749226,0.5170278637770898,5.0
covid,1,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.5373015873015873,0.5849056603773585,0.5392156862745098,0.5371517027863777,0.5820433436532508,5.0
covid,1,train_synthetic_test_real_cv,SepAware_VariedGrid_Best,CatBoost,0.5778577857785778,0.6865671641791045,0.5764705882352942,0.579656862745098,0.6004901960784313,
covid,1,train_synthetic_test_real_cv,SepAware_VariedGrid_Best,XGBoost,0.48461538461538467,0.6417910447761194,0.4845013477088949,0.48590686274509803,0.5661764705882353,
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,CatBoost,0.640920716112532,0.7592592592592593,0.6777777777777778,0.6285714285714286,0.8482142857142857,1.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,XGBoost,0.7137349397590362,0.7962962962962963,0.7367864693446089,0.7,0.8589285714285715,1.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,CatBoost,0.7230769230769231,0.7777777777777778,0.7154605263157895,0.7339285714285715,0.8410714285714286,2.0
