dataset_group,dataset,lambda_sep,lambda_anchor,mean_selected_row_final_score,SI_k1,HM_k1,quality_score,ablation_selection_score
covid,Grid_sep1.0_anchor0.0,1.0,0.0,1.3940711265264742,0.7791855330091118,0.8967554168721493,0.9562620450770514,2.1540719724197865
covid,Grid_sep1.0_anchor0.25,1.0,0.25,1.553919833023824,0.7604757113309855,0.8539366257917977,0.9610371205564674,2.0949308974010172
covid,Grid_sep1.0_anchor0.5,1.0,0.5,1.7186797041555568,0.7544692268992118,0.8304097502216627,0.9650425898552518,2.0674002720485007
covid,Grid_sep0.5_anchor0.0,0.5,0.0,1.0907209257117156,0.6953910224160098,0.536244430263807,0.9576733838944561,1.710472144627045
covid,Grid_sep0.5_anchor0.25,0.5,0.25,1.2513186527226998,0.6886242942590418,0.5176622545273462,0.9615093867212282,1.6870412421470022
covid,Grid_sep0.5_anchor0.5,0.5,0.5,1.417211901121931,0.6766560456146236,0.4934785643351097,0.9652447566899424,1.6527569882947044
covid,Grid_sep0.25_anchor0.0,0.25,0.0,0.9482385308071801,0.657954608977584,0.38896650968381336,0.9581478553071726,1.5259950463149836
covid,Grid_sep0.25_anchor0.25,0.25,0.25,1.1089196022481402,0.6482083962211415,0.3727501832580046,0.9614592845479845,1.5016882217531382
covid,Grid_sep0.25_anchor0.5,0.25,0.5,1.274711590161427,0.6422298619263234,0.3712429635123477,0.964133460717339,1.4955395557973405
covid,Grid_sep0.0_anchor0.0,0.0,0.0,0.8126775753824657,0.6377159148079825,0.33627487269935513,0.9574279531747234,1.4527047640946995
covid,Grid_sep0.0_anchor0.5,0.0,0.5,1.138341506405191,0.6294901895019286,0.3166044160483689,0.9647007130998551,1.428444962100225
covid,Grid_sep0.0_anchor0.25,0.0,0.25,0.9729488611987114,0.6332494829224663,0.31172727826717583,0.9603437809600033,1.4251486516696439
vigitel,Grid_sep1.0_anchor0.5,1.0,0.5,1.8158332297514908,0.8115,0.8286149197731124,0.966824183017741,2.123527011281983
vigitel,Grid_sep1.0_anchor0.25,1.0,0.25,1.6216270976704947,0.81135,0.8216977688769929,0.9666402512765113,2.116367894515249
vigitel,Grid_sep1.0_anchor0.0,1.0,0.0,1.4281266986653531,0.8105,0.8221041108194271,0.9664056664558831,2.115806944047369
vigitel,Grid_sep0.5_anchor0.5,0.5,0.5,1.511073921774285,0.7765000000000001,0.6111987922253654,0.9665175107173942,1.8709575475840627
vigitel,Grid_sep0.5_anchor0.25,0.5,0.25,1.3163665009589143,0.7761,0.6112952388949255,0.966311433210676,1.8705509555002635
vigitel,Grid_sep0.5_anchor0.0,0.5,0.0,1.122531848487102,0.7749,0.6031912464983531,0.9660672009737977,1.861124846985252
vigitel,Grid_sep0.25_anchor0.25,0.25,0.25,1.169819730593505,0.7604,0.5414332801999031,0.9662335295775127,1.7849500449886595
vigitel,Grid_sep0.25_anchor0.5,0.25,0.5,1.3648421976083607,0.7602,0.5358974549397135,0.9664358399843248,1.7793153749318757
vigitel,Grid_sep0.25_anchor0.0,0.25,0.0,0.9758068892344358,0.7586,0.5338505889584141,0.9659066761545054,1.7754039270356667
vigitel,Grid_sep0.0_anchor0.25,0.0,0.25,1.0289066804898257,0.7487999999999999,0.498961469880656,0.9661566933477481,1.7308398165545298
vigitel,Grid_sep0.0_anchor0.0,0.0,0.0,0.8346441278824717,0.7485,0.4980729335187689,0.9658026334533829,1.7294742502454603
vigitel,Grid_sep0.0_anchor0.5,0.0,0.5,1.2242312912403315,0.7477,0.4915434393613406,0.9664534676518566,1.722470173187269
