dataset_group,dataset,n,Macro_F1_mean,Macro_F1_sd,Macro_F1_ci95
covid,Fixed_Balanced_high_sep1.0_anchor0.5,5,0.5491835745711149,0.07722719829976743,0.09589023181096436
covid,SepAware_VariedGrid_Best,5,0.5349677151903109,0.05226556223197408,0.0648962669693207
covid,Fixed_Sep_high_sep1.0_anchor0.0,5,0.5343440899901102,0.046856996456672025,0.058180645564211105
covid,Fixed_Balanced_low_sep0.25_anchor0.25,5,0.5290937469732258,0.08203536218819234,0.10186035580868498
covid,Fixed_Anchor_medium_sep0.0_anchor0.5,5,0.5196733243815821,0.05945165649783553,0.07381898150693939
covid,Fixed_Balanced_medium_sep0.5_anchor0.25,5,0.5157033744141917,0.06811408016444274,0.08457480111095385
covid,Fixed_Anchor_low_sep0.0_anchor0.25,5,0.509071418559197,0.01928511122271496,0.02394562830660059
covid,Real,5,0.506873072655824,0.05554115580429767,0.06896345358082258
covid,Fixed_Sep_low_sep0.25_anchor0.0,5,0.49978842390939315,0.052561272929256074,0.06526344029601949
covid,Fixed_Sep_medium_sep0.5_anchor0.0,5,0.4997294077830136,0.05750401478855463,0.07140066491512526
covid,Fixed_Realism_only_sep0.0_anchor0.0,5,0.4940097647515298,0.023099359421936652,0.028681642975787708
covid,Standard_CTGAN,5,0.46273076440956606,0.03274830701068977,0.0406623938172975
vigitel,SepAware_VariedGrid_Best,5,0.5838805245299004,0.01813071995751946,0.022512262232766433
vigitel,Fixed_Balanced_high_sep1.0_anchor0.5,5,0.5833777534975075,0.01738601344264121,0.021587586964014315
vigitel,Fixed_Sep_high_sep1.0_anchor0.0,5,0.5802649131973189,0.018389507031784255,0.022833588826081518
vigitel,Fixed_Balanced_medium_sep0.5_anchor0.25,5,0.5347166461602638,0.01817092024418968,0.02256217748144232
vigitel,Fixed_Sep_medium_sep0.5_anchor0.0,5,0.5261071438253898,0.020862989640419275,0.025904823131406757
vigitel,Fixed_Balanced_low_sep0.25_anchor0.25,5,0.49293098628622145,0.030718143030349917,0.03814161229245944
vigitel,Fixed_Sep_low_sep0.25_anchor0.0,5,0.4863179642874808,0.0323138456257506,0.04012293875700878
vigitel,Fixed_Anchor_low_sep0.0_anchor0.25,5,0.473579911445665,0.021772441638251313,0.02703405693520929
vigitel,Fixed_Anchor_medium_sep0.0_anchor0.5,5,0.4732861818379551,0.016971563666734687,0.02107297959820757
vigitel,Fixed_Realism_only_sep0.0_anchor0.0,5,0.4699105838012466,0.02201884866668892,0.02734001167132464
vigitel,Real,5,0.4671925511963527,0.007063592256567421,0.008770608202970667
vigitel,Standard_CTGAN,5,0.4587528055624598,0.008648242577362894,0.010738211456044457
